"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Montenegro","2021","US$","9252.311915536213"
"Montserrat","2019","US$","14506.515394417725"
"Montserrat","2020","US$","15067.489711934157"
"Montserrat","2021","US$","16199.419582589155"
"Morocco","2019","US$","3551.0912359602585"
"Morocco","2020","US$","3307.4841984297805"
"Morocco","2021","US$","3853.2833317302475"
"Mozambique","2019","US$","508.16340378094526"
"Mozambique","2020","US$","454.0623643457195"
"Mozambique","2021","US$","491.83911277653095"
"Myanmar","2019","US$","1400.369086865427"
"Myanmar","2020","US$","1465.9933618414823"
"Myanmar","2021","US$","1088.9252062864941"
"Namibia","2019","US$","5126.594304904407"
"Namibia","2020","US$","4243.569032954417"
"Namibia","2021","US$","4836.174241463731"
"Nauru","2019","US$","10976.593270567642"
"Nauru","2020","US$","11015.094289027134"
"Nauru","2021","US$","12390.370114941867"
"Nepal","2019","US$","1188.5288874857758"
"Nepal","2020","US$","1119.609198475165"
"Nepal","2021","US$","1205.5000022008517"
"Netherlands","2019","US$","52420.6999565304"
"Netherlands","2020","US$","52183.342924140896"
"Netherlands","2021","US$","57871.349209626766"
"New Caledonia","2019","US$","33204.34006595963"
"New Caledonia","2020","US$","33011.628547997716"
"New Caledonia","2021","US$","34994.26583446173"
"New Zealand","2019","US$","43039.54587889174"
"New Zealand","2020","US$","41930.08994411668"
"New Zealand","2021","US$","48823.507779533866"
"Nicaragua","2019","US$","1890.2730774893294"
"Nicaragua","2020","US$","1863.107439020256"
"Nicaragua","2021","US$","2045.534286650415"
"Niger","2019","US$","550.9637691117579"
"Niger","2020","US$","564.8219973309591"
"Niger","2021","US$","590.6294772651623"
"Nigeria","2019","US$","2334.019506083776"
"Nigeria","2020","US$","2063.572796878867"
"Nigeria","2021","US$","2019.308062818724"
"Northern Africa","2019","US$","3100.9003054643626"
"Northern Africa","2020","US$","3038.6737438496016"
"Northern Africa","2021","US$","3345.9989916354734"
"Northern America","2019","US$","62191.54292995048"
"Northern America","2020","US$","60745.57718412378"
"Northern America","2021","US$","67454.66936662084"
"Northern Europe","2019","US$","47164.813164424246"
"Northern Europe","2020","US$","45595.218595288374"
"Northern Europe","2021","US$","53057.2107897439"
"Norway","2019","US$","75714.33046712104"
"Norway","2020","US$","67325.12226393018"
"Norway","2021","US$","89241.71393780549"
"Oceania","2019","US$","38161.63517660631"
"Oceania","2020","US$","38777.240683010554"
"Oceania","2021","US$","46087.60397920243"
"Oman","2019","US$","19132.1711363082"
"Oman","2020","US$","16707.622996017682"
"Oman","2021","US$","19509.466486400015"
"Pakistan","2019","US$","1307.3335009782547"
"Pakistan","2020","US$","1292.9419494042709"
"Pakistan","2021","US$","1480.1107268919275"
"Palau","2019","US$","15567.97694797946"
"Palau","2020","US$","14013.777487202315"
"Palau","2021","US$","12084.128273413227"
"Panama","2019","US$","15826.088769086684"
"Panama","2020","US$","12569.180158280698"
"Panama","2021","US$","14617.596617490952"
"Papua New Guinea","2019","US$","2593.729597079869"
"Papua New Guinea","2020","US$","2446.0846950197156"
"Papua New Guinea","2021","US$","2672.9671739215005"
"Paraguay","2019","US$","5807.838812652374"
"Paraguay","2020","US$","5353.348049243037"
"Paraguay","2021","US$","6035.143063868031"
"Peru","2019","US$","6955.881769636782"
"Peru","2020","US$","6056.272511903328"
"Peru","2021","US$","6621.65260383678"
"Philippines","2019","US$","3413.8490672027515"
"Philippines","2020","US$","3224.422811048932"
"Philippines","2021","US$","3460.5311230111492"
"Poland","2019","US$","15484.611924427805"
"Poland","2020","US$","15598.96623247491"
"Poland","2021","US$","17736.419557001722"
"Polynesia","2019","US$","12150.675720851177"
"Polynesia","2020","US$","11320.562044466427"
"Polynesia","2021","US$","11828.380870114353"
"Portugal","2019","US$","23322.518802026174"
"Portugal","2020","US$","22240.006840111088"
"Portugal","2021","US$","24651.176434873312"
"Puerto Rico","2019","US$","31925.298377988678"
"Puerto Rico","2020","US$","31489.61780970814"
"Puerto Rico","2021","US$","32716.456983785152"
"Qatar","2019","US$","62827.39695430236"
"Qatar","2020","US$","52315.66007833315"
"Qatar","2021","US$","66798.76705368"
"Republic of Korea","2019","US$","31874.52754651387"
"Republic of Korea","2020","US$","31716.12725367093"
"Republic of Korea","2021","US$","34940.411261751535"
"Republic of Moldova","2019","US$","3849.9371827191176"
"Republic of Moldova","2020","US$","3844.5117516583405"
